Category,Question,Answer
Account & Login,How can I reset my password?,"Click on 'Forgot Password' on the login page, enter your registered email address, and follow the password reset link sent to your inbox."
Account & Login,How do I create an account?,"Click the 'Sign Up' button at the top right of the homepage, fill in your details (name, email, password), and confirm your account via email."
Account & Login,Can I change my registered email address?,"Yes, log into your account, go to Account Settings > Profile Information, update your email address, and verify the change through the confirmation email."
Orders & Shipping,How do I track my order?,"Once your order has shipped, you will receive a confirmation email with a tracking number and a link to track your shipment in real-time."
Orders & Shipping,What are your delivery times and shipping costs?,Standard shipping takes 3-5 business days and costs $4.99 (free for orders over $50). Express shipping takes 1-2 business days for $12.99.
Orders & Shipping,Do you ship internationally?,"Yes, we ship to over 50 countries worldwide. International delivery times vary between 7 to 14 business days depending on destination and customs."
Orders & Shipping,Can I modify or cancel my order after placing it?,"Orders can be modified or canceled within 1 hour of placement from your Account Dashboard. After 1 hour, processing begins and changes cannot be made."
Returns & Refunds,What is your return policy?,"We offer a 30-day money-back guarantee. Items must be unworn, unused, and in their original packaging with all original tags attached."
Returns & Refunds,How long does it take to process a refund?,"Once we receive and inspect your returned item, refunds are processed within 5 to 7 business days back to your original payment method."
Returns & Refunds,Who pays for return shipping fees?,"Return shipping is free for damaged or defective items. For standard returns or exchanges, customer is responsible for the return shipping cost."
Payments & Billing,What payment methods do you accept?,"We accept Visa, MasterCard, American Express, PayPal, Apple Pay, Google Pay, and Shop Pay."
Payments & Billing,Is my payment information secure?,"Yes, all payment transactions are encrypted using 256-bit SSL technology. We do not store full credit card details on our servers."
Customer Support,What are your operating hours?,"Our customer support team is available 24/7 via live chat. Phone support is available Monday through Friday, 9:00 AM to 6:00 PM EST."
Customer Support,How can I contact customer support?,"You can reach us via live chat on our website, email us at support@example.com, or call our toll-free hotline at 1-800-555-0199."
